Category,References,Qty per board,Qty for 2 boards,Recommended purchase qty,Value / description,PCB footprint,Preferred manufacturer part,DigiKey part / search note,Status / notes
Logic,"U1,U2,U3",3,6,8,"74AHCT125 quad non-inverting buffer, active-low OE, 4.5-5.5V","SOIC-14, 3.9mm body, 1.27mm pitch",74AHCT125S14-13,31-74AHCT125S14-13CT-ND,"Use AHCT; do not substitute HC. Buy cut tape."
Transistor,Q1,1,2,5,"2N3904 NPN; pins 1=E, 2=B, 3=C",TO-92 inline,P2N3904BU,"Search P2N3904BU or equivalent E-B-C TO-92","Verify E-B-C lead order against the footprint."
Resistor,"R1-R12",12,24,30,"100 ohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 100 ohm 0805 1% thick film","Silkscreen code 101."
Resistor,"R13,R14,R16,R17",4,8,10,"10 kohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 10 kohm 0805 1% thick film","Silkscreen code 103."
Resistor,R15,1,2,5,"100 kohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 100 kohm 0805 1% thick film","Silkscreen code 104."
Resistor,R18,1,2,5,"20 kohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 20 kohm 0805 1% thick film","Silkscreen code 203."
Resistor,R19,1,2,5,"1 kohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 1 kohm 0805 1% thick film","Silkscreen code 102."
Resistor,R20,1,2,5,"2.2 kohm, 1%, >=0.125W","0805 / 2012 metric",Generic,"Search 2.2 kohm 0805 1% thick film","Silkscreen code 222."
Ceramic capacitor,"C1,C2,C3",3,6,10,"100 nF, X7R, >=16V","0805 / 2012 metric",Generic,"Search 0.1uF 0805 X7R 25V","Local bypass capacitors; silkscreen code 104."
Electrolytic capacitor,C4,1,2,5,"10 uF, >=16V, radial","5mm diameter, 2.0mm lead pitch",Generic,"Search 10uF 16V radial 5mm diameter 2mm pitch","Polarized; match diameter and pitch."
Electrolytic capacitor,C5,1,2,5,"470 uF, >=10V (16V preferred), radial","10mm diameter, 5.0mm lead pitch",Generic,"Search 470uF 16V radial 10mm diameter 5mm pitch","Polarized bulk capacitor."
LED,D1,1,2,5,"Green diffused LED, 3mm, standard current",3mm THT LED,Generic,"Search green diffused 3mm through-hole LED","Pin 1/anode is marked + on PCB."
LED,D2,1,2,5,"Red diffused LED, 3mm, standard current",3mm THT LED,Generic,"Search red diffused 3mm through-hole LED","Pin 1/anode is marked + on PCB."
Pushbutton,"SW1,SW2",2,4,6,"Momentary normally-open tactile switch, 6x6mm",KiCad SW_PUSH_6mm,Generic,"Search 6mm tactile switch through-hole; Adafruit 1009 style","Verify the common 6.5x4.5mm four-leg footprint."
Channel connector,"J1-J6",6,12,0,"JST XH vertical, 4 positions, 2.50mm",JST XH B4B vertical,B4B-XH-A,455-B4B-XH-A-ND,"Already owned: 24 pieces."
I2C connector,"J8,J9",2,4,5,"JST SH/Qwiic vertical SMD, 4 positions, 1.00mm",JST SH BM04B vertical SMD,BM04B-SRSS-TB,455-BM04B-SRSS-TBCT-ND,"J9 intentionally has no 3.3V output connection."
I2C test connector,J10,1,2,3,"JST PH vertical, 4 positions, 2.00mm",JST PH B4B vertical,B4B-PH-K-S,455-1706-ND,"Pins: GND, 3V3, SDA, SCL."
Heartbeat connector,J11,1,2,3,"JST PH vertical, 2 positions, 2.00mm",JST PH B2B vertical,B2B-PH-K-S,455-1704-ND,"Pins: GND, heartbeat input."
Address header,JP1,1,2,3,"2x2 male pin header, 2.54mm pitch",2x2 THT vertical header,Generic,"Search 2x2 2.54mm male header","Also buy two 2.54mm shunts per board."
MCU sockets,"MCU1A,MCU1B",2,4,6,"1x13 female socket, 2.54mm pitch",1x13 THT vertical socket,Generic,"Search 1x13 2.54mm female header/socket","Two socket rows per board; KB2040 is removable."
MCU,MCU1,1,2,0,"Adafruit KB2040 with male headers",Removable module,Adafruit KB2040,"User supplied","Not soldered directly to PCB."
Power terminal,J7,1,2,0,"2-position 5.08mm screw terminal",Phoenix MKDS-style 5.08mm,User supplied,"User supplied","Verify existing terminal has 5.08mm pin pitch."
Mechanical,"H1-H4",4,8,8,"M3 mounting hardware; 3.2mm NPTH",Mechanical hole,Generic,"M3 screws/standoffs as required","No electrical component installed."
