Net,KB2040 label,RP2040 GPIO,Buffer,Output
CH1_DATA,D2,GP2,U1A,J1 pin 3
CH1_CLOCK,D3,GP3,U1B,J1 pin 4
CH2_DATA,D4,GP4,U1C,J2 pin 3
CH2_CLOCK,D5,GP5,U1D,J2 pin 4
CH3_DATA,D6,GP6,U2A,J3 pin 3
CH3_CLOCK,D7,GP7,U2B,J3 pin 4
CH4_DATA,D8,GP8,U2C,J4 pin 3
CH4_CLOCK,D9,GP9,U2D,J4 pin 4
CH5_DATA,SCK,GP18,U3A,J5 pin 3
CH5_CLOCK,A0,GP26,U3B,J5 pin 4
CH6_DATA,A1,GP27,U3C,J6 pin 3
CH6_CLOCK,A2,GP28,U3D,J6 pin 4
I2C_SDA,TX,GP0,,I2C IN/THRU
I2C_SCL,RX,GP1,,I2C IN/THRU
ADDRESS,A3,GP29,,JP1 resistor-coded 2x2 header
HEARTBEAT,D10,GP10,,J11 pin 2
TEST,MISO,GP20,,SW1 / J11 pin 3
BUFFER_ENABLE,MOSI,GP19,,Q1 base network
RESET,RST,, ,SW2 / J11 pin 4
